#,Date,Mode,Duration,Player 1,Hero 1,Player 2,Hero 2,Player 3,Hero 3,Player 4,Hero 4,Player 5,Hero 5,Result,Notes
1,05/04/2026,Ranked,22.56,huehue,Karrie,ryuu,Chou,gerakan tambahan(real),Phoveus,abang jamil,Zhuxin,zepho,Lancelot,Win,
2,05/04/2026,Ranked,21.12,huehue,Ixia,ryuu,Arlott,gerakan tambahan(real),Lolita,abang jamil,Cecilion,tauke,Sora,Lose,"ryuu afk, asim over extend"
3,05/04/2026,Ranked,10.22,huehue,Hanabi,eitsss,Ling,gerakan tambahan(real),Gatotkaca,abang jamil,Zhuxin,tauke,Dyrroth,Win,
4,05/04/2026,Ranked,11.03,huehue,Hanabi,eitsss,Suyou,gerakan tambahan(real),Badang,abang jamil,Zetian,tauke,Lapu-Lapu,Win,
5,05/04/2026,Ranked,6.4,huehue,Popol and Kupa,royaler,Lapu-Lapu,gerakan tambahan(real),Marcel,abang jamil,Selena,tauke,Paquito,Win,22-0 gilo
6,05/04/2026,Ranked,14.38,huehue,Ixia,royaler,Yu Zhong,gerakan tambahan(real),Marcel,abang jamil,Valentina,tauke,Sora,Win,
7,05/02/2026,Ranked,13.25,huehue,Obsidia,ryuu,Gloo,gerakan tambahan(real),Phoveus,australo,Vexana,ryuuna,Fredrinn,Win,
8,05/02/2026,Ranked,17.16,huehue,Lapu-Lapu,ryuu,Irithel,gerakan tambahan(real),Zetian,australo,Hilda,ryuuna,Gusion,Lose,"ryuu mm, ryuuna gt, exp slow backup"
9,04/29/2026,Ranked,21.56,huehue,Hanabi,ryuu,Gatotkaca,gerakan tambahan(real),Jawhead,abang jamil,Zhuxin,tauke,X.Borg,Win,
10,04/29/2026,Ranked,21.36,huehue,Harith,ryuu,Alice,gerakan tambahan(real),Badang,abang jamil,Zhuxin,tauke,Alpha,Lose,harith xde dmg 
11,04/29/2026,Ranked,21.13,huehue,Roger,ryuu,Belerick,gerakan tambahan(real),Chip,abang jamil,Xavier,tauke,Fredrinn,Win,
