⚔️ MLBB SQUAD POSTGAME ANALYSIS ⚔️,,,,,,,,,,,,,,,
"Log each game below — 5 players per game, pick heroes from dropdown, mark Win/Lose",,,,,,,,,,,,,,,
#,Date,Mode,Duration,Player 1,Hero 1,Player 2,Hero 2,Player 3,Hero 3,Player 4,Hero 4,Player 5,Hero 5,Result,Notes
1,2026-05-04,Ranked,23,huehue,Karrie,ryuu,Chou,gerakan tambahan(real),Phoveus,abang jamil,Zhuxin,zepho,Lancelot,Win,
2,2026-05-04,Ranked,21,huehue,Ixia,ryuu,Arlott,gerakan tambahan(real),Lolita,abang jamil,Cecilion,tauke,Sora,Lose,"ryuu afk, asim over extend"
3,2026-05-04,Ranked,10,huehue,Hanabi,eitsss,Ling,gerakan tambahan(real),Gatotkaca,abang jamil,Zhuxin,tauke,Dyrroth,Win,
4,2026-05-04,Ranked,11,huehue,Hanabi,eitsss,Suyou,gerakan tambahan(real),Badang,abang jamil,Zetian,tauke,Lapu-Lapu,Win,
5,2026-05-04,Ranked,7,huehue,Popol and Kupa,royaler,Lapu-Lapu,gerakan tambahan(real),Marcel,abang jamil,Selena,tauke,Paquito,Win,22-0 gilo
6,2026-05-04,Ranked,15,huehue,Ixia,royaler,Yu Zhong,gerakan tambahan(real),Marcel,abang jamil,Valentina,tauke,Sora,Win,
7,2026-05-02,Ranked,13,huehue,Obsidia,ryuu,Gloo,gerakan tambahan(real),Phoveus,australo,Vexana,ryuuna,Fredrinn,Win,
8,2026-05-02,Ranked,17,huehue,Lapu-Lapu,ryuu,Irithel,gerakan tambahan(real),Zetian,australo,Hilda,ryuuna,Gusion,Lose,"ryuu mm, ryuuna gt, exp slow backup"
9,2026-04-29,Ranked,22,huehue,Hanabi,ryuu,Gatotkaca,gerakan tambahan(real),Jawhead,abang jamil,Zhuxin,tauke,X.Borg,Win,
10,2026-04-29,Ranked,22,huehue,Harith,ryuu,Alice,gerakan tambahan(real),Badang,abang jamil,Zhuxin,tauke,Alpha,Lose,harith xde dmg 
11,2026-04-29,Ranked,21,huehue,Roger,ryuu,Belerick,gerakan tambahan(real),Chip,abang jamil,Xavier,tauke,Fredrinn,Win,
12,2026-05-06,Ranked,12,huehue,Popol and Kupa,royaler,Gatotkaca,gerakan tambahan(real),Marcel,abang jamil,Zhuxin,tauke,Sora,Win,
13,2026-05-06,Ranked,12,huehue,Karrie,royaler,Uranus,gerakan tambahan(real),Chip,abang jamil,Lylia,tauke,Paquito,Win,
14,2026-05-06,Ranked,25,huehue,Ixia,royaler,Lapu-Lapu,gerakan tambahan(real),Badang,abang jamil,Zhuxin,tauke,Sora,Win,
15,2026-05-06,Ranked,10,huehue,Minsitthar,royaler,Belerick,gerakan tambahan(real),Chip,abang jamil,Gord,tauke,Sora,Win,39-0 GILO
16,2026-05-08,Tour,28,huehue,Minsitthar,royaler,Belerick,gerakan tambahan(real),Chip,abang jamil,Zhuxin,tauke,Sora,Lose,kena comeback wo
17,2026-05-08,Tour,11,huehue,Hanabi,royaler,Phoveus,gerakan tambahan(real),Badang,abang jamil,Valentina,tauke,Leomord,Win,
18,2026-05-08,Tour,12,huehue,Hanabi,royaler,Phoveus,gerakan tambahan(real),Hylos,abang jamil,Zhuxin,tauke,Leomord,Lose,
19,2026-05-08,Tour,15,huehue,Moskov,royaler,Yu Zhong,gerakan tambahan(real),Marcel,abang jamil,Selena,tauke,Paquito,Lose,
20,2026-05-12,Ranked,14,huehue,Hanabi,ryuu,Akai,australo,Joy,abang jamil,Valentina,ryuuna,Akai,Win,
21,2026-05-12,Ranked,18,huehue,Irithel,ryuu,Phoveus,gerakan tambahan(real),Faramis,abang jamil,Yve,australo,Suyou,Lose,
22,2026-05-12,Ranked,14,huehue,Freya,ryuu,Phoveus,australo,Akai,abang jamil,Gord,ryuuna,Gusion,Win,
23,2026-05-12,Ranked,24,huehue,Freya,ryuu,Gloo,australo,Khaleed,abang jamil,Selena,ryuuna,Gusion,Lose,
24,2026-05-15,Tour,22,huehue,Guinevere,ryuu,Phoveus,gerakan tambahan(real),Grock,abang jamil,Zhuxin,australo,Granger,Lose,VPR - YB
25,2026-05-15,Tour,15,huehue,Fredrinn,ryuu,Gloo,gerakan tambahan(real),Marcel,abang jamil,Selena,australo,Karrie,Win,VPR - AJK
26,2026-05-15,Tour,11,huehue,Fredrinn,ryuu,Phoveus,gerakan tambahan(real),Badang,abang jamil,Zhuxin,australo,Karrie,Lose,VPR - ML
27,2026-05-15,Tour,15,huehue,Aulus,ryuu,Belerick,gerakan tambahan(real),Chip,abang jamil,Gord,australo,Irithel,Win,VPR - GTR
28,2026-05-15,Tour,14,huehue,Aulus,ryuu,Phoveus,gerakan tambahan(real),Badang,abang jamil,Selena,australo,Karrie,Win,VPR - GTR
29,2026-05-15,Tour,23,huehue,Aulus,ryuu,Belerick,gerakan tambahan(real),Chip,abang jamil,Faramis,australo,Irithel,Win,VPR - PRMN
30,2026-05-15,Tour,15,huehue,Aulus,ryuu,Gloo,gerakan tambahan(real),Badang,abang jamil,Zhuxin,australo,Irithel,Win,VPR - PRMN
31,2026-05-15,Tour,16,huehue,Aulus,ryuu,Belerick,gerakan tambahan(real),Badang,abang jamil,Valentina,australo,Irithel,Lose,VPR - BK
32,2026-05-15,Tour,12,huehue,Julian,ryuu,Belerick,gerakan tambahan(real),Chip,abang jamil,Valentina,australo,Karrie,Lose,VPR - BK
